id,name,alias,year,type,status,order,episodes,rating,watched_date,group,created_at,modified_at
65,Kami no Tou: Season 1,,2020,Anime,Dropped,1,13,8,2022-03-20,28,2022-05-01 08:43:56,2022-05-01 08:43:56
75,Friends: Season 1,,1995,Serial,Finished,1,24,10,,54,2022-05-01 08:43:56,2022-05-01 08:43:56
76,Friends: Season 2,,1996,Serial,Finished,2,24,10,,54,2022-05-01 08:43:56,2022-05-01 08:43:56
77,Friends: Season 3,,1997,Serial,Finished,3,25,10,,54,2022-05-01 08:43:56,2022-05-01 08:43:56
78,Friends: Season 4,,1998,Serial,Finished,4,24,10,,54,2022-05-01 08:43:56,2022-05-01 08:43:56
79,Friends: Season 5,,1999,Serial,Finished,5,24,10,,54,2022-05-01 08:43:56,2022-05-01 08:43:56
80,Friends: Season 6,,2000,Serial,Finished,6,25,10,,54,2022-05-01 08:43:56,2022-05-01 08:43:56
81,Friends: Season 7,,2001,Serial,Finished,7,24,10,,54,2022-05-01 08:43:56,2022-05-01 08:43:56
82,Friends: Season 8,,2002,Serial,Finished,8,24,10,,54,2022-05-01 08:43:56,2022-05-01 08:43:56
83,Friends: Season 9,,2003,Serial,Finished,9,24,10,,54,2022-05-01 08:43:56,2022-05-01 08:43:56
84,Friends: Season 10,,2004,Serial,Finished,10,17,10,,54,2022-05-01 08:43:56,2022-05-01 08:43:56
85,Gokushufudou: Season 1,,2021,Anime,Finished,1,5,7,,56,2022-05-01 08:43:56,2022-05-01 08:43:56
86,Gokushufudou: Season 2,,2021,Anime,Finished,2,5,7,,56,2022-05-01 08:43:56,2022-05-01 08:43:56

